,bNTI_Version,Geospatial_Variable,Mantel_rho,p_value
1,Overall,TOT_AET2015_ANN,0.317289720125796,1e-04
2,Within Stream Order,TOT_AET2015_ANN,0.402614864302262,1e-04
3,Overall,TOT_PET2015_ANN,0.378261754535538,1e-04
4,Within Stream Order,TOT_PET2015_ANN,0.417895677477868,1e-04
5,Overall,TOT_PPT2015_ANN,0.436444740286901,1e-04
6,Within Stream Order,TOT_PPT2015_ANN,0.486997571987758,1e-04
7,Overall,TOT_TAV2015_ANN,0.32762961301539,1e-04
8,Within Stream Order,TOT_TAV2015_ANN,0.396708971573744,1e-04
9,Overall,TOT_CONTACT,0.22549126019499,6e-04
10,Within Stream Order,TOT_CONTACT,0.231700088603605,0.0072
11,Overall,TOT_RECHG,0.372094297194368,1e-04
12,Within Stream Order,TOT_RECHG,0.420879633708277,1e-04
13,Overall,TOT_urban16_sqrt,0.0973921826959845,0.0518
14,Within Stream Order,TOT_urban16_sqrt,0.281971364228999,0.0018
15,Overall,TOT_forest16_sqrt,0.330317220617681,1e-04
16,Within Stream Order,TOT_forest16_sqrt,0.372482601439676,1e-04
17,Overall,TOT_wetland16_sqrt,0.0639531599452928,0.1014
18,Within Stream Order,TOT_wetland16_sqrt,0.237785152059752,0.0046
19,Overall,TOT_agrc16_sqrt,0.407061775689065,1e-04
20,Within Stream Order,TOT_agrc16_sqrt,0.38724742303655,1e-04
21,Overall,TOT_shrub16_sqrt,0.270241208215373,1e-04
22,Within Stream Order,TOT_shrub16_sqrt,0.306560528083739,5e-04
23,Overall,TOT_BASIN_AREA_LOG,0.132335570381915,0.0159
24,Within Stream Order,TOT_BASIN_AREA_LOG,0.299097100582699,0.001
25,Overall,Geospatial PC1,0.457633196003623,1e-04
26,Within Stream Order,Geospatial PC1,0.508055756585445,1e-04
27,Overall,Geospatial PC2,0.143756978499092,0.0125
28,Within Stream Order,Geospatial PC2,0.114154081310501,0.1124
29,Overall,Geospatial PC3,-0.00187583081441351,0.4823
30,Within Stream Order,Geospatial PC3,0.113685520471303,0.1152
